,type,run_mems,baselines,encoding
301,umap,2936.6328125,2908.05078125,no
302,umap,2939.171875,2908.05078125,no
303,umap,2941.5078125,2908.05078125,no
304,umap,2943.58203125,2908.05078125,no
305,umap,2946.41015625,2908.05078125,no
306,umap,2953.1015625,2908.05078125,no
307,umap,2955.75390625,2908.05078125,no
308,umap,2958.484375,2908.05078125,no
309,umap,2961.33984375,2908.05078125,no
310,umap,2963.5625,2908.05078125,no
311,umap,2965.43359375,2908.05078125,no
312,umap,2967.6875,2908.05078125,no
313,umap,2973.09765625,2908.05078125,no
314,umap,2975.4140625,2908.05078125,no
315,umap,2977.69140625,2908.05078125,no
316,umap,2980.25,2908.05078125,no
317,umap,2983.18359375,2908.05078125,no
318,umap,2984.33203125,2908.05078125,no
319,umap,2987.046875,2908.05078125,no
320,umap,2990.16015625,2908.05078125,no
321,umap,2992.15234375,2908.05078125,no
322,umap,2995.05078125,2908.05078125,no
323,umap,2997.4375,2908.05078125,no
324,umap,3003.3671875,2908.05078125,no
325,umap,3006.33984375,2908.05078125,no
326,umap,3008.75390625,2908.05078125,no
327,umap,3011.18359375,2908.05078125,no
328,umap,3014.671875,2908.05078125,no
329,umap,3016.328125,2908.05078125,no
330,umap,3018.35546875,2908.05078125,no
331,umap,3020.99609375,2908.05078125,no
332,umap,3024.265625,2908.05078125,no
333,umap,3025.47265625,2908.05078125,no
334,umap,3028.04296875,2908.05078125,no
335,umap,3030.9609375,2908.05078125,no
336,umap,3036.33203125,2908.05078125,no
337,umap,3037.51171875,2908.05078125,no
338,umap,3039.84375,2908.05078125,no
339,umap,3042.5,2908.05078125,no
340,umap,3045.68359375,2908.05078125,no
341,umap,3047.6484375,2908.05078125,no
342,umap,3050.20703125,2908.05078125,no
343,umap,3053.4296875,2908.05078125,no
344,umap,3055.76953125,2908.05078125,no
345,umap,3058.62890625,2908.05078125,no
346,umap,3061.54296875,2908.05078125,no
347,umap,3066.390625,2908.05078125,no
348,umap,3071.84375,2908.05078125,no
349,umap,3073.71484375,2908.05078125,no
350,umap,3076.81640625,2908.05078125,no
351,umap,3079.67578125,2908.05078125,no
352,umap,3083.8046875,2908.05078125,no
353,umap,3085.6171875,2908.05078125,no
354,umap,3087.7421875,2908.05078125,no
355,umap,3090.76953125,2908.05078125,no
356,umap,3093.359375,2908.05078125,no
357,umap,3095.08984375,2908.05078125,no
358,umap,3098.015625,2908.05078125,no
359,umap,3101.3515625,2908.05078125,no
360,umap,3104.96484375,2908.05078125,no
361,umap,3106.171875,2908.05078125,no
362,umap,3108.66015625,2908.05078125,no
363,umap,3110.90234375,2908.05078125,no
364,umap,3114.48828125,2908.05078125,no
365,umap,3115.77734375,2908.05078125,no
366,umap,3118.03515625,2908.05078125,no
367,umap,3121.09375,2908.05078125,no
368,umap,3125.55859375,2908.05078125,no
369,umap,3127.05859375,2908.05078125,no
370,umap,3128.96875,2908.05078125,no
371,umap,3131.796875,2908.05078125,no
372,umap,3134.75390625,2908.05078125,no
373,umap,3136.41796875,2908.05078125,no
374,umap,3138.828125,2908.05078125,no
375,umap,3141.34765625,2908.05078125,no
376,umap,3145.625,2908.05078125,no
377,umap,3151.14453125,2908.05078125,no
378,umap,3152.97265625,2908.05078125,no
379,umap,3155.72265625,2908.05078125,no
380,umap,3159.171875,2908.05078125,no
381,umap,3166.87890625,2908.05078125,no
382,umap,3168.49609375,2908.05078125,no
383,umap,3169.11328125,2908.05078125,no
384,umap,3172.44140625,2908.05078125,no
385,umap,3175.42578125,2908.05078125,no
386,umap,3176.59765625,2908.05078125,no
387,umap,3178.65625,2908.05078125,no
388,umap,3181.59765625,2908.05078125,no
389,umap,3184.55078125,2908.05078125,no
390,umap,3187.17578125,2908.05078125,no
391,umap,3189.3046875,2908.05078125,no
392,umap,3192.015625,2908.05078125,no
393,umap,3194.8046875,2908.05078125,no
394,umap,3197.4921875,2908.05078125,no
395,umap,3198.83984375,2908.05078125,no
396,umap,3200.98046875,2908.05078125,no
397,umap,3203.703125,2908.05078125,no
398,umap,3206.40234375,2908.05078125,no
399,umap,3208.6484375,2908.05078125,no
400,mde,3201.23828125,3193.3828125,yes
401,mde,3202.24609375,3193.3828125,yes
402,mde,3202.25390625,3193.3828125,yes
403,mde,3202.25390625,3193.3828125,yes
404,mde,3202.25390625,3193.3828125,yes
405,mde,3202.27734375,3193.3828125,yes
406,mde,3202.27734375,3193.3828125,yes
407,mde,3202.27734375,3193.3828125,yes
408,mde,3202.27734375,3193.3828125,yes
409,mde,3202.27734375,3193.3828125,yes
410,mde,3202.27734375,3193.3828125,yes
411,mde,3202.27734375,3193.3828125,yes
412,mde,3202.27734375,3193.3828125,yes
413,mde,3202.27734375,3193.3828125,yes
414,mde,3202.28125,3193.3828125,yes
415,mde,3202.28125,3193.3828125,yes
416,mde,3202.28125,3193.3828125,yes
417,mde,3202.28125,3193.3828125,yes
418,mde,3202.28125,3193.3828125,yes
419,mde,3202.28125,3193.3828125,yes
420,mde,3202.28125,3193.3828125,yes
421,mde,3202.28125,3193.3828125,yes
422,mde,3202.28125,3193.3828125,yes
423,mde,3202.28125,3193.3828125,yes
424,mde,3202.28125,3193.3828125,yes
425,mde,3202.28125,3193.3828125,yes
426,mde,3202.28125,3193.3828125,yes
427,mde,3202.28125,3193.3828125,yes
428,mde,3202.28125,3193.3828125,yes
429,mde,3202.28125,3193.3828125,yes
430,mde,3202.28125,3193.3828125,yes
431,mde,3202.28125,3193.3828125,yes
432,mde,3202.28125,3193.3828125,yes
433,mde,3202.28125,3193.3828125,yes
434,mde,3202.28125,3193.3828125,yes
435,mde,3202.28125,3193.3828125,yes
436,mde,3202.28125,3193.3828125,yes
437,mde,3202.28125,3193.3828125,yes
438,mde,3202.28125,3193.3828125,yes
439,mde,3202.28125,3193.3828125,yes
440,mde,3202.28125,3193.3828125,yes
441,mde,3202.28125,3193.3828125,yes
442,mde,3202.28125,3193.3828125,yes
443,mde,3202.28125,3193.3828125,yes
444,mde,3202.28125,3193.3828125,yes
445,mde,3202.28125,3193.3828125,yes
446,mde,3202.28125,3193.3828125,yes
447,mde,3202.28125,3193.3828125,yes
448,mde,3202.28125,3193.3828125,yes
449,mde,3202.28125,3193.3828125,yes
450,mde,3202.28125,3193.3828125,yes
451,mde,3202.28125,3193.3828125,yes
452,mde,3202.28125,3193.3828125,yes
453,mde,3202.28125,3193.3828125,yes
454,mde,3202.28125,3193.3828125,yes
455,mde,3202.28125,3193.3828125,yes
456,mde,3202.28125,3193.3828125,yes
457,mde,3202.28125,3193.3828125,yes
458,mde,3202.28125,3193.3828125,yes
459,mde,3202.28125,3193.3828125,yes
460,mde,3202.28125,3193.3828125,yes
461,mde,3202.28125,3193.3828125,yes
462,mde,3202.28125,3193.3828125,yes
463,mde,3202.28125,3193.3828125,yes
464,mde,3202.28125,3193.3828125,yes
465,mde,3202.28125,3193.3828125,yes
466,mde,3202.28125,3193.3828125,yes
467,mde,3202.28125,3193.3828125,yes
468,mde,3202.28125,3193.3828125,yes
469,mde,3202.28125,3193.3828125,yes
470,mde,3202.28125,3193.3828125,yes
471,mde,3202.28125,3193.3828125,yes
472,mde,3202.28125,3193.3828125,yes
473,mde,3202.28125,3193.3828125,yes
474,mde,3202.28125,3193.3828125,yes
475,mde,3202.28125,3193.3828125,yes
476,mde,3202.28125,3193.3828125,yes
477,mde,3202.28125,3193.3828125,yes
478,mde,3202.28125,3193.3828125,yes
479,mde,3202.28125,3193.3828125,yes
480,mde,3202.28125,3193.3828125,yes
481,mde,3202.28125,3193.3828125,yes
482,mde,3202.28125,3193.3828125,yes
