,type,run_times,encoding
84,tsne,42.79731009999523,yes
85,tsne,42.92178330000024,yes
86,tsne,42.704790199990384,yes
87,tsne,42.801477600005455,yes
88,tsne,42.92567450000206,yes
89,tsne,42.77663340000436,yes
90,tsne,42.78633409997565,yes
91,tsne,43.20827569998801,yes
92,tsne,43.55528559998493,yes
93,tsne,42.74102070002118,yes
94,tsne,42.77489410000271,yes
95,tsne,42.83713820000412,yes
96,tsne,42.82845780000207,yes
97,tsne,43.29325479999534,yes
98,tsne,42.81387949999771,yes
99,tsne,42.751410000026226,yes
100,tsne,66.0067041000002,no
101,tsne,66.12925159998122,no
102,tsne,66.09708939999109,no
103,tsne,66.00921799999196,no
104,tsne,65.83018089999678,no
105,tsne,66.07078790001106,no
106,tsne,65.92936179999379,no
107,tsne,65.98677980000502,no
108,tsne,67.21194780000951,no
109,tsne,65.83578870000201,no
110,tsne,66.07066510000732,no
111,tsne,67.07920229999581,no
112,tsne,66.18369219999295,no
113,tsne,65.97914419998415,no
114,tsne,65.89110510001774,no
115,tsne,66.04430979999597,no
116,tsne,66.21176100001321,no
117,tsne,65.93341059997329,no
118,tsne,65.95673029997852,no
119,tsne,65.86771720001707,no
120,tsne,66.2288830000034,no
121,tsne,66.25381299998844,no
122,tsne,70.28195740000228,no
123,tsne,65.98835260001943,no
124,tsne,65.9165886999981,no
125,tsne,67.5851902999857,no
126,tsne,65.89051690002088,no
127,tsne,66.23331899999175,no
128,tsne,65.99680480000097,no
129,tsne,66.24850049999077,no
130,tsne,66.17545330000576,no
131,tsne,66.03405499999644,no
132,tsne,66.10978659999091,no
133,tsne,66.10495159999118,no
134,tsne,66.0289075000037,no
135,tsne,65.86750449999818,no
136,tsne,66.3352899000165,no
137,tsne,66.31373850000091,no
138,tsne,66.40266160000465,no
139,tsne,66.2921309999947,no
140,tsne,66.09552579998854,no
141,tsne,65.66559560000314,no
142,tsne,65.96621850001975,no
143,tsne,66.21292849999736,no
144,tsne,65.78717460000189,no
145,tsne,65.88422249999712,no
146,tsne,66.23625580000225,no
147,tsne,65.82774869998684,no
148,tsne,66.18349560000934,no
149,tsne,66.43529799999669,no
150,tsne,65.7624455000041,no
151,tsne,65.90185020002536,no
152,tsne,66.83787610000581,no
153,tsne,66.1394733999914,no
154,tsne,65.9917649999843,no
155,tsne,66.48292130001937,no
156,tsne,65.9337608999922,no
157,tsne,65.8750030999945,no
158,tsne,66.62635179999052,no
159,tsne,65.99839319998864,no
160,tsne,65.92448549999972,no
161,tsne,65.87705310000456,no
162,tsne,66.00793429999612,no
163,tsne,66.22120400000131,no
164,tsne,65.91233739999007,no
165,tsne,65.86485649997485,no
166,tsne,67.09251149999909,no
167,tsne,65.78012079998734,no
168,tsne,65.83364970001276,no
169,tsne,66.21052839999902,no
170,tsne,65.96041319999495,no
171,tsne,65.89620690001175,no
172,tsne,65.87066359998425,no
173,tsne,66.1075665000244,no
174,tsne,65.87205500001437,no
175,tsne,66.81340859999182,no
176,tsne,68.73513240000466,no
177,tsne,66.0367843999993,no
178,tsne,66.11460810000426,no
179,tsne,66.61336139999912,no
180,tsne,66.10775519997696,no
181,tsne,65.79751410000608,no
182,tsne,65.95455960000982,no
183,tsne,65.74007860000711,no
184,tsne,65.95436819997849,no
185,tsne,66.22078480001073,no
186,tsne,65.91820800001733,no
187,tsne,65.94518310000421,no
188,tsne,65.89878439999302,no
189,tsne,66.20571670000209,no
190,tsne,66.28255289999652,no
191,tsne,66.04985979999765,no
192,tsne,65.72154420000152,no
193,tsne,66.77624050001032,no
194,tsne,66.38254130000132,no
195,tsne,65.97282890000497,no
196,tsne,66.01300489998539,no
197,tsne,66.21310409999569,no
198,tsne,66.18311539999559,no
199,tsne,66.24641669998528,no
200,umap,7.651329199987231,yes
201,umap,7.459635600011097,yes
202,umap,7.646303699992131,yes
203,umap,7.48388580000028,yes
204,umap,7.57436400000006,yes
205,umap,7.574983700003941,yes
206,umap,7.71377110001049,yes
207,umap,7.528090999985579,yes
208,umap,7.534163600008469,yes
209,umap,7.476964400004363,yes
210,umap,7.604065099993022,yes
211,umap,7.557953599985922,yes
212,umap,7.568197699991288,yes
213,umap,7.498076699994272,yes
214,umap,7.697925300017232,yes
215,umap,7.416388700017706,yes
216,umap,7.754144600010477,yes
217,umap,7.579560299986042,yes
218,umap,7.7418284000013955,yes
219,umap,7.339474800013704,yes
220,umap,7.754458700015675,yes
221,umap,7.351327800017316,yes
222,umap,7.822425300022587,yes
223,umap,7.549136699992232,yes
224,umap,7.89183109998703,yes
225,umap,7.367023700004211,yes
226,umap,7.735476700006984,yes
227,umap,7.3677834999980405,yes
228,umap,7.738031599990791,yes
229,umap,7.361540699988836,yes
230,umap,7.80665010001394,yes
231,umap,7.370685800007777,yes
232,umap,7.684627000009641,yes
233,umap,7.449226500000805,yes
234,umap,7.869506899995031,yes
235,umap,7.4419303000031505,yes
236,umap,7.734608600003412,yes
237,umap,7.441645299986703,yes
238,umap,7.579425399977481,yes
239,umap,7.508759699994698,yes
240,umap,7.616884200018831,yes
241,umap,7.5862587000010535,yes
242,umap,7.575218200014206,yes
243,umap,7.524773500015726,yes
244,umap,7.549385799997253,yes
245,umap,7.527642600005493,yes
246,umap,7.613151199999265,yes
247,umap,7.460048699984327,yes
248,umap,7.583485200011637,yes
249,umap,7.4883286000113,yes
250,umap,7.574465299985604,yes
251,umap,7.394550400000298,yes
252,umap,7.586316100001568,yes
253,umap,7.465626899997005,yes
254,umap,7.5344525999971665,yes
255,umap,7.398024699999951,yes
256,umap,7.63610490001156,yes
257,umap,7.5071795000112616,yes
258,umap,7.71640699999989,yes
259,umap,7.389482400001725,yes
260,umap,7.681270399974892,yes
261,umap,7.393094800005201,yes
262,umap,7.848041299992474,yes
263,umap,7.708880199992564,yes
264,umap,7.779870400001528,yes
265,umap,7.332845700002508,yes
266,umap,7.808277400006773,yes
267,umap,7.402456100011477,yes
268,umap,7.659903599997051,yes
269,umap,7.460747099976288,yes
270,umap,7.673075700004119,yes
271,umap,7.4803002000262495,yes
272,umap,7.580949299997883,yes
273,umap,7.390424699988216,yes
274,umap,7.589948999986518,yes
275,umap,7.5317346999945585,yes
276,umap,7.681758000020636,yes
